Batting Statistics by Player Ranking in the American Leage
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
169                      Jonathan Lucroy          LAA                      240                      28                       58                       8                        1                        7                        30                       0                        0                        21                       39                       .242                     .310                     .371                     .681                     -0.6                     
170                      Dwight Smith Jr.         BAL                      357                      46                       86                       16                       3                        13                       53                       5                        1                        26                       82                       .241                     .297                     .412                     .708                     -0.9                     
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
171                      Robbie Grossman          OAK                      420                      57                       101                      21                       3                        6                        38                       9                        4                        59                       86                       .240                     .334                     .348                     .682                     1.0                      
172                      Chad Pinder              OAK                      341                      45                       82                       21                       0                        13                       47                       0                        1                        20                       88                       .240                     .290                     .416                     .706                     1.7                      
173                      Nicky Lopez              KC                       379                      44                       91                       22                       2                        2                        30                       1                        1                        18                       51                       .240                     .276                     .325                     .601                     0.2                      
174                      Kyle Seager              SEA                      393                      55                       94                       19                       1                        23                       63                       2                        2                        44                       86                       .239                     .321                     .468                     .789                     2.4                      
175                      Roberto Perez            CLE                      389                      46                       93                       9                        1                        24                       63                       0                        0                        45                       127                      .239                     .321                     .452                     .774                     3.9                      
176                      Josh Phegley             OAK                      314                      44                       75                       18                       0                        12                       62                       0                        1                        15                       63                       .239                     .282                     .411                     .693                     0.3                      
177                      Cam Gallagher            KC                       126                      14                       30                       7                        0                        3                        12                       0                        1                        11                       28                       .238                     .312                     .365                     .677                     0.2                      
                         DJ Stewart               BAL                      126                      15                       30                       6                        0                        4                        15                       1                        2                        14                       26                       .238                     .317                     .381                     .698                     -0.4                     
                         Luis Rengifo             LAA                      357                      44                       85                       18                       3                        7                        33                       2                        5                        40                       93                       .238                     .321                     .364                     .685                     1.6                      
180                      Robinson Chirinos        HOU                      366                      57                       87                       22                       1                        17                       58                       1                        2                        51                       125                      .238                     .347                     .443                     .790                     3.8                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
181                      Didi Gregorius           NYY                      324                      47                       77                       14                       2                        16                       61                       2                        1                        17                       53                       .238                     .276                     .441                     .718                     0.6                      
182                      Isiah Kiner-Falefa       TEX                      202                      23                       48                       12                       1                        1                        21                       3                        0                        14                       49                       .238                     .299                     .322                     .620                     -0.2                     
183                      Franmil Reyes            CLE                      173                      26                       41                       10                       0                        10                       35                       0                        0                        18                       63                       .237                     .304                     .468                     .772                     0.1                      
184                      Tim Beckham              SEA                      304                      39                       72                       21                       1                        15                       47                       1                        3                        21                       102                      .237                     .293                     .461                     .753                     0.4                      
185                      Ryon Healy               SEA                      169                      24                       40                       16                       0                        7                        26                       0                        0                        13                       40                       .237                     .289                     .456                     .744                     0.1                      
186                      Asdrubal Cabrera         TEX                      323                      45                       76                       15                       0                        12                       51                       4                        0                        38                       85                       .235                     .318                     .393                     .711                     0.2                      
                         Aaron Hicks              NYY                      221                      41                       52                       10                       0                        12                       36                       1                        2                        31                       72                       .235                     .325                     .443                     .769                     1.3                      
188                      JaCoby Jones             DET                      298                      39                       70                       19                       3                        11                       26                       7                        2                        27                       94                       .235                     .310                     .430                     .740                     -0.2                     
189                      Cavan Biggio             TOR                      354                      66                       83                       17                       2                        16                       48                       14                       0                        71                       123                      .234                     .364                     .429                     .793                     2.8                      
190                      Breyvic Valera           NYY/TOR                  47                       7                        11                       2                        1                        1                        6                        0                        0                        4                        7                        .234                     .308                     .383                     .691                     0.1                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
191                      Christin Stewart         DET                      369                      32                       86                       25                       1                        10                       40                       0                        1                        34                       103                      .233                     .305                     .388                     .693                     -0.4                     
192                      Jake Marisnick           HOU                      292                      46                       68                       16                       3                        10                       34                       10                       3                        17                       95                       .233                     .289                     .411                     .700                     1.2                      
193                      Rio Ruiz                 BAL                      370                      35                       86                       13                       2                        12                       46                       0                        1                        40                       88                       .232                     .306                     .376                     .682                     0.5                      
194                      Gary Sanchez             NYY                      396                      62                       92                       12                       1                        34                       77                       0                        1                        40                       125                      .232                     .316                     .525                     .841                     3.1                      
195                      Randal Grichuk           TOR                      586                      75                       136                      29                       5                        31                       80                       2                        1                        35                       163                      .232                     .280                     .457                     .738                     0.3                      
196                      Jason Castro             MIN                      237                      39                       55                       9                        0                        13                       30                       0                        0                        33                       88                       .232                     .332                     .435                     .767                     0.7                      
197                      Kole Calhoun             LAA                      552                      92                       128                      29                       1                        33                       74                       4                        1                        70                       162                      .232                     .325                     .467                     .792                     2.3                      
198                      Joey Wendle              TB                       238                      32                       55                       13                       2                        3                        19                       8                        3                        14                       47                       .231                     .293                     .340                     .633                     0.9                      
199                      Blake Swihart            BOS                      26                       4                        6                        1                        0                        1                        4                        0                        0                        2                        7                        .231                     .310                     .385                     .695                     0.0                      
200                      Teoscar Hernandez        TOR                      417                      58                       96                       19                       2                        26                       65                       6                        3                        45                       153                      .230                     .306                     .472                     .778                     1.3                      
